address,bathroom,bedroom,city,detailslink,floorsize,lotsize,lotunit,propertyType,propertyid,soldDate,soldPrice,state,zipcode
1327 Michael Pl # U136,2,2,Bayside,/realestateandhomes-detail/1327-Michael-Pl-U136_Bayside_NY_11360_M48181-47773,,,,Condo/Townhome/Row Home/Co-Op,4818147773," July 21, 2017 ","
              $635,000",NY,11360
3826 222nd St,4,4,Flushing,/realestateandhomes-detail/3826-222nd-St_Flushing_NY_11361_M41156-46851,"2,265","4,320", sq ft lot,Single Family Home,4115646851," July 21, 2017 ","
              $1,250,000",NY,11361
15031 12th Ave Apt 204,1,1,Whitestone,/realestateandhomes-detail/15031-12th-Ave-Apt-204_Whitestone_NY_11357_M46656-34566,763,0.93, acres lot,Condo/Townhome/Row Home/Co-Op,4665634566," July 21, 2017 ","
              $475,000",NY,11357
3436 107th St,2,7,Flushing,/realestateandhomes-detail/3436-107th-St_Flushing_NY_11368_M46377-41482,"1,968","2,375", sq ft lot,Multi-Family Home,4637741482," July 21, 2017 ","
              $847,000",NY,11368
1835 Corporal Kennedy St Apt 2J,1,1,Bayside,/realestateandhomes-detail/1835-Corporal-Kennedy-St-Apt-2J_Bayside_NY_11360_M34403-14081,875,,,Condo/Townhome/Row Home/Co-Op,3440314081," July 21, 2017 ","
              $206,500",NY,11360
13428 Blossom Ave,3,5,Flushing,/realestateandhomes-detail/13428-Blossom-Ave_Flushing_NY_11355_M30226-06492,"1,360","2,660", sq ft lot,Multi-Family Home,3022606492," July 21, 2017 ","
              $1,630,000",NY,11355
16006 16th Ave # 2,1,2,Whitestone,/realestateandhomes-detail/16006-16th-Ave-2_Whitestone_NY_11357_M39433-51815,,,,Condo/Townhome/Row Home/Co-Op,3943351815," July 21, 2017 ","
              $310,000",NY,11357
2621 Union St Apt 4B,1,2,Flushing,/realestateandhomes-detail/2621-Union-St-Apt-4B_Flushing_NY_11354_M34599-66011,,,,Condo/Townhome/Row Home/Co-Op,3459966011," July 21, 2017 ","
              $275,000",NY,11354
5615 229th St,1+,3,Bayside,/realestateandhomes-detail/5615-229th-St_Bayside_NY_11364_M44800-85023,"1,100","4,600", sq ft lot,Single Family Home,4480085023," July 21, 2017 ","
              $856,000",NY,11364
13919 31st Rd Apt 2B,1,1,Flushing,/realestateandhomes-detail/13919-31st-Rd-Apt-2B_Flushing_NY_11354_M30022-53141,586,,,Condo/Townhome/Row Home/Co-Op,3002253141," July 21, 2017 ","
              $188,000",NY,11354
8510 Elmhurst Ave Apt 2B,1,2,Elmhurst,/realestateandhomes-detail/8510-Elmhurst-Ave-Apt-2B_Elmhurst_NY_11373_M37099-06548,928,,,Condo/Townhome/Row Home/Co-Op,3709906548," July 21, 2017 ","
              $360,000",NY,11373
9009 Northern Blvd Apt 304,1,2,Jackson Heights,/realestateandhomes-detail/9009-Northern-Blvd-Apt-304_Jackson-Heights_NY_11372_M38887-05882,900,,,Condo/Townhome/Row Home/Co-Op,3888705882," July 21, 2017 ","
              $260,000",NY,11372
6615 Wetherole St Apt D12,1,1,Rego Park,/realestateandhomes-detail/6615-Wetherole-St-Apt-D12_Rego-Park_NY_11374_M49926-06097,,,,Condo/Townhome/Row Home/Co-Op,4992606097," July 21, 2017 ","
              $217,500",NY,11374
9820 62nd Dr Apt 9N,1,0,Rego Park,/realestateandhomes-detail/9820-62nd-Dr-Apt-9N_Rego-Park_NY_11374_M42792-14043,500,,,Condo/Townhome/Row Home/Co-Op,4279214043," July 21, 2017 ","
              $222,500",NY,11374
4459 Kissena Blvd Apt 1J,1,1,Flushing,/realestateandhomes-detail/4459-Kissena-Blvd-Apt-1J_Flushing_NY_11355_M45500-31759,850,,,Condo/Townhome/Row Home/Co-Op,4550031759," July 21, 2017 ","
              $233,000",NY,11355
6135 98th St Apt 14A,1,0,Rego Park,/realestateandhomes-detail/6135-98th-St-Apt-14A_Rego-Park_NY_11374_M45897-89720,450,,,Condo/Townhome/Row Home/Co-Op,4589789720," July 21, 2017 ","
              $180,000",NY,11374
9102 50th Ave,4,6,Elmhurst,/realestateandhomes-detail/9102-50th-Ave_Elmhurst_NY_11373_M48045-05352,"2,348","2,375", sq ft lot,Multi-Family Home,4804505352," July 21, 2017 ","
              $1,100,000",NY,11373
14712 17th Ave,5,6,Flushing,/realestateandhomes-detail/14712-17th-Ave_Flushing_NY_11357_M47004-79659,"3,375","5,000", sq ft lot,Multi-Family Home,4700479659," July 21, 2017 ","
              $1,580,000",NY,11357
19204 48th Ave,2,2,Flushing,/realestateandhomes-detail/19204-48th-Ave_Flushing_NY_11365_M34313-65243,"1,672","4,000", sq ft lot,Single Family Home,3431365243," July 21, 2017 ","
              $800,000",NY,11365
11314 72nd Rd Apt 6L,2,2,Forest Hills,/realestateandhomes-detail/11314-72nd-Rd-Apt-6L_Forest-Hills_NY_11375_M40636-40715,"1,270",,,Condo/Townhome/Row Home/Co-Op,4063640715," July 20, 2017 ","
              $640,000",NY,11375
10230 66th Rd Apt 14H,1,2,Forest Hills,/realestateandhomes-detail/10230-66th-Rd-Apt-14H_Forest-Hills_NY_11375_M44398-42298,"1,053",,,Condo/Townhome/Row Home/Co-Op,4439842298," July 20, 2017 ","
              $463,500",NY,11375
7636 113th St Apt 4G,1,2,Forest Hills,/realestateandhomes-detail/7636-113th-St-Apt-4G_Forest-Hills_NY_11375_M30857-13414,,,,Condo/Townhome/Row Home/Co-Op,3085713414," July 20, 2017 ","
              $449,000",NY,11375
3511 85th St Apt 7B,1,1,Jackson Heights,/realestateandhomes-detail/3511-85th-St-Apt-7B_Jackson-Heights_NY_11372_M41423-41128,,,,Condo/Townhome/Row Home/Co-Op,4142341128," July 20, 2017 ","
              $325,000",NY,11372
10230 66th Rd Apt 6A,1,1,Forest Hills,/realestateandhomes-detail/10230-66th-Rd-Apt-6A_Forest-Hills_NY_11375_M37038-93679,800,,,Condo/Townhome/Row Home/Co-Op,3703893679," July 20, 2017 ","
              $340,000",NY,11375
2448 77th St,2,3,Flushing,/realestateandhomes-detail/2448-77th-St_Flushing_NY_11370_M30663-59857,"2,017","2,200", sq ft lot,Single Family Home,3066359857," July 20, 2017 ","
              $727,000",NY,11370
1023 117th St,2,3,Flushing,/realestateandhomes-detail/1023-117th-St_Flushing_NY_11356_M34215-87045,"1,200","4,440", sq ft lot,Single Family Home,3421587045," July 20, 2017 ","
              $630,000",NY,11356
5444 Little Neck Pkwy Apt 3V,1,0,Little Neck,/realestateandhomes-detail/5444-Little-Neck-Pkwy-Apt-3V_Little-Neck_NY_11362_M42659-84601,,,,Condo/Townhome/Row Home/Co-Op,4265984601," July 20, 2017 ","
              $135,000",NY,11362
6534 223rd Pl,1,2,Oakland Gardens,/realestateandhomes-detail/6534-223rd-Pl_Oakland-Gardens_NY_11364_M37498-17180,,,,Condo/Townhome/Row Home/Co-Op,3749817180," July 20, 2017 ","
              $236,000",NY,11364
11921 28th Ave,1,2,Flushing,/realestateandhomes-detail/11921-28th-Ave_Flushing_NY_11354_M37691-64565,758,"2,700", sq ft lot,Single Family Home,3769164565," July 20, 2017 ","
              $599,000",NY,11354
5296 79th St,1+,2,Flushing,/realestateandhomes-detail/5296-79th-St_Flushing_NY_11373_M36892-99279,"1,636","1,842", sq ft lot,Single Family Home,3689299279," July 20, 2017 ","
              $760,000",NY,11373
7311 52nd Ct,2,3,Flushing,/realestateandhomes-detail/7311-52nd-Ct_Flushing_NY_11378_M42752-41139,"1,239","2,100", sq ft lot,Single Family Home,4275241139," July 20, 2017 ","
              $670,000",NY,11378
21702 73rd Ave,1,2,Bayside,/realestateandhomes-detail/21702-73rd-Ave_Bayside_NY_11364_M44541-93324,,,,Condo/Townhome/Row Home/Co-Op,4454193324," July 20, 2017 ","
              $280,000",NY,11364
6011 Broadway Apt 3G,1,2,Woodside,/realestateandhomes-detail/6011-Broadway-Apt-3G_Woodside_NY_11377_M30819-03911,,,,Condo/Townhome/Row Home/Co-Op,3081903911," July 20, 2017 ","
              $370,000",NY,11377
5444 Little Neck Pkwy Apt 3R,2,2,Little Neck,/realestateandhomes-detail/5444-Little-Neck-Pkwy-Apt-3R_Little-Neck_NY_11362_M40357-44419,,,,Condo/Townhome/Row Home/Co-Op,4035744419," July 20, 2017 ","
              $277,500",NY,11362
14444 41st Ave Apt 1S,1,1,Flushing,/realestateandhomes-detail/14444-41st-Ave-Apt-1S_Flushing_NY_11355_M36048-49698,,,,Condo/Townhome/Row Home/Co-Op,3604849698," July 20, 2017 ","
              $270,000",NY,11355
19626 67th Ave # 2,1,1,Fresh Meadows,/realestateandhomes-detail/19626-67th-Ave-2_Fresh-Meadows_NY_11365_M35180-88013,750,,,Condo/Townhome/Row Home/Co-Op,3518088013," July 20, 2017 ","
              $180,000",NY,11365
16705 12th Ave Apt 9B,1,1,Beechhurst,/realestateandhomes-detail/16705-12th-Ave-Apt-9B_Beechhurst_NY_11357_M36813-43899,800,,,Condo/Townhome/Row Home/Co-Op,3681343899," July 20, 2017 ","
              $212,000",NY,11357
13227 14th Rd,1,2,Flushing,/realestateandhomes-detail/13227-14th-Rd_Flushing_NY_11356_M31099-84978,"1,337","2,500", sq ft lot,Single Family Home,3109984978," July 20, 2017 ","
              $550,000",NY,11356
7133 Sutton Pl # 3,2,3,Fresh Meadows,/realestateandhomes-detail/7133-Sutton-Pl-3_Fresh-Meadows_NY_11365_M34581-98432,998,2.37, acres lot,Condo/Townhome/Row Home/Co-Op,3458198432," July 19, 2017 ","
              $630,000",NY,11365
1644 200th St # 2-59,1,2,Bayside,/realestateandhomes-detail/1644-200th-St-2-59_Bayside_NY_11360_M41418-08886,715,,,Condo/Townhome/Row Home/Co-Op,4141808886," July 19, 2017 ","
              $250,000",NY,11360
10419 48th Ave,3,8,Flushing,/realestateandhomes-detail/10419-48th-Ave_Flushing_NY_11368_M32531-28538,"2,160","2,500", sq ft lot,Multi-Family Home,3253128538," July 19, 2017 ","
              $1,300,000",NY,11368
